alpha,beta,sigma,x0_alpha,x0_beta,x0_sigma,func_obj,rmse
23031.98940092029,3218.6843940921294,17.92229107298095,23055.555555555555,155.0,19.0,49556.8,23.336242973128083
23026.92547199581,3217.9368513308264,17.92231113455605,23055.555555555555,155.0,24.5,49557.23,23.33634337044912
23009.729568853712,3215.607848811204,17.92212227027176,23055.555555555555,155.0,30.0,49558.68,23.33668471887627
23028.246979342402,3218.1210929328904,17.92231583298988,23055.555555555555,200.0,8.0,49557.12,23.336317162420876
23019.343079669718,3216.955618796293,17.922172869290005,23055.555555555555,200.0,13.5,49557.87,23.33649379717527
23027.781431232946,3218.042769528418,17.922330677103403,23055.555555555555,200.0,19.0,49557.16,23.336326396673392
23025.81876278404,3217.7738361978822,17.92230713973192,23055.555555555555,200.0,24.5,49557.32,23.33636532988956
128436.07047232526,16974.820361075243,18.252643336224338,23055.555555555555,200.0,30.0,48127.93,22.997355967680488
28407.401738760174,3921.345477417245,17.995339754486398,28444.444444444445,20.0,8.0,49198.61,23.251752883671468
28411.096291413767,3921.7859342257866,17.995423452556338,28444.444444444445,20.0,13.5,49198.41,23.25170686467144
28412.53417548642,3921.9913739314015,17.99542167735709,28444.444444444445,20.0,19.0,49198.33,23.251688956123683
28417.88249119392,3922.481598942997,17.9956883043503,28444.444444444445,20.0,24.5,49198.05,23.251622466591996
28413.0863867388,3921.985151538286,17.995501494519047,28444.444444444445,20.0,30.0,49198.31,23.25168209801295
28390.28374544972,3919.0500344563347,17.995210676530945,28444.444444444445,65.0,8.0,49199.51,23.251966286788086
28407.17741235049,3921.2493117529475,17.99540293383808,28444.444444444445,65.0,13.5,49198.62,23.251755683516958
28415.626073879645,3922.401371917748,17.995450270717498,28444.444444444445,65.0,19.0,49198.17,23.25165045688654
28410.72001097224,3921.7799263167817,17.99536074032855,28444.444444444445,65.0,24.5,49198.43,23.251711587628044
28396.274614948423,3919.9277639784827,17.995176776029876,28444.444444444445,65.0,30.0,49199.19,23.251891571779673
